  Mars Model
           0               1.0           1
          96               3            11    92
3219500	3445.01	7598.63	4228.36	0	0	7598.63	4228.36	1
3229500	3441.59	7586.79	4229.35	0	0	7586.79	4229.35	1
3239500	3438.4	7576.65	4230.75	0	0	7576.65	4230.75	1
3249500	3434.62	7563.35	4231.6	0	0	7563.35	4231.6	1
3259500	3430.53	7548.22	4232.06	0	0	7548.22	4232.06	1
3269500	3426.66	7534.72	4232.9	0	0	7534.72	4232.9	1
3279500	3422.17	7517.95	4232.95	0	0	7517.95	4232.95	1
3289500	3407.42	7456.96	4217.16	0	0	7456.96	4217.16	1
3299500	3404.71	7448.94	4281.18	0	0	7448.94	4281.18	1
3335201	3128.76	6634.12	3705.96	0	0	6634.12	3705.96	1
3335746	3128.76	6634.12	3705.96	0	0	6634.12	3705.96	1
3335746	3072.05	6586.92	3434.36	0	0	6586.92	3434.36	1
3355232	3072.05	6586.92	3434.36	0	0	6586.92	3434.36	1
3355232	2951.28	5983.08	3031.79	0	0	5983.08	3031.79	1
3389500	2951.28	5983.08	3031.79	0	0	5983.08	3031.79	1
